,display_name,name,start_date,end_date,type
AL0506.XSGE,铝0506,al0506,2004-06-16,2005-06-15,futures
AL0507.XSGE,铝0507,al0507,2004-07-16,2005-07-15,futures
AL0508.XSGE,铝0508,al0508,2004-08-17,2005-08-15,futures
AL0509.XSGE,铝0509,al0509,2004-09-16,2005-09-15,futures
AL0510.XSGE,铝0510,al0510,2004-10-18,2005-10-17,futures
AL0511.XSGE,铝0511,al0511,2004-11-16,2005-11-15,futures
AL0512.XSGE,铝0512,al0512,2004-12-16,2005-12-15,futures
AL0601.XSGE,铝0601,al0601,2005-01-18,2006-01-16,futures
AL0602.XSGE,铝0602,al0602,2005-02-16,2006-02-15,futures
AL0603.XSGE,铝0603,al0603,2005-03-16,2006-03-15,futures
AL0604.XSGE,铝0604,al0604,2005-04-18,2006-04-17,futures
AL0605.XSGE,铝0605,al0605,2005-05-17,2006-05-15,futures
AL0606.XSGE,铝0606,al0606,2005-06-16,2006-06-15,futures
AL0607.XSGE,铝0607,al0607,2005-07-18,2006-07-17,futures
AL0608.XSGE,铝0608,al0608,2005-08-16,2006-08-15,futures
AL0609.XSGE,铝0609,al0609,2005-09-16,2006-09-15,futures
AL0610.XSGE,铝0610,al0610,2005-10-18,2006-10-16,futures
AL0611.XSGE,铝0611,al0611,2005-11-16,2006-11-15,futures
AL0612.XSGE,铝0612,al0612,2005-12-16,2006-12-15,futures
AL0701.XSGE,铝0701,al0701,2006-01-17,2007-01-15,futures
AL0702.XSGE,铝0702,al0702,2006-02-16,2007-02-12,futures
AL0703.XSGE,铝0703,al0703,2006-03-16,2007-03-15,futures
AL0704.XSGE,铝0704,al0704,2006-04-18,2007-04-16,futures
AL0705.XSGE,铝0705,al0705,2006-05-16,2007-05-15,futures
AL0706.XSGE,铝0706,al0706,2006-06-16,2007-06-15,futures
AL0707.XSGE,铝0707,al0707,2006-07-18,2007-07-16,futures
AL0708.XSGE,铝0708,al0708,2006-08-16,2007-08-15,futures
AL0709.XSGE,铝0709,al0709,2006-09-18,2007-09-17,futures
AL0710.XSGE,铝0710,al0710,2006-10-17,2007-10-15,futures
AL0711.XSGE,铝0711,al0711,2006-11-16,2007-11-15,futures
AL0712.XSGE,铝0712,al0712,2006-12-18,2007-12-17,futures
AL0801.XSGE,铝0801,al0801,2007-01-16,2008-01-15,futures
AL0802.XSGE,铝0802,al0802,2007-02-13,2008-02-15,futures
AL0803.XSGE,铝0803,al0803,2007-03-16,2008-03-17,futures
AL0804.XSGE,铝0804,al0804,2007-04-17,2008-04-15,futures
AL0805.XSGE,铝0805,al0805,2007-05-16,2008-05-15,futures
AL0806.XSGE,铝0806,al0806,2007-06-18,2008-06-16,futures
AL0807.XSGE,铝0807,al0807,2007-07-17,2008-07-15,futures
AL0808.XSGE,铝0808,al0808,2007-08-16,2008-08-15,futures
AL0809.XSGE,铝0809,al0809,2007-09-18,2008-09-16,futures
AL0810.XSGE,铝0810,al0810,2007-10-16,2008-10-15,futures
AL0811.XSGE,铝0811,al0811,2007-11-16,2008-11-17,futures
AL0812.XSGE,铝0812,al0812,2007-12-18,2008-12-15,futures
AL0901.XSGE,铝0901,al0901,2008-01-16,2009-01-15,futures
AL0902.XSGE,铝0902,al0902,2008-02-18,2009-02-16,futures
AL0903.XSGE,铝0903,al0903,2008-03-18,2009-03-16,futures
AL0904.XSGE,铝0904,al0904,2008-04-16,2009-04-15,futures
AL0905.XSGE,铝0905,al0905,2008-05-16,2009-05-15,futures
AL0906.XSGE,铝0906,al0906,2008-06-17,2009-06-15,futures
AL0907.XSGE,铝0907,al0907,2008-07-16,2009-07-15,futures
AL0908.XSGE,铝0908,al0908,2008-08-18,2009-08-17,futures
AL0909.XSGE,铝0909,al0909,2008-09-17,2009-09-15,futures
AL0910.XSGE,铝0910,al0910,2008-10-16,2009-10-15,futures
AL0911.XSGE,铝0911,al0911,2008-11-18,2009-11-16,futures
AL0912.XSGE,铝0912,al0912,2008-12-16,2009-12-15,futures
AL1001.XSGE,铝1001,al1001,2009-01-16,2010-01-15,futures
AL1002.XSGE,铝1002,al1002,2009-02-17,2010-02-09,futures
AL1003.XSGE,铝1003,al1003,2009-03-17,2010-03-15,futures
AL1004.XSGE,铝1004,al1004,2009-04-16,2010-04-15,futures
AL1005.XSGE,铝1005,al1005,2009-05-18,2010-05-17,futures
AL1006.XSGE,铝1006,al1006,2009-06-16,2010-06-17,futures
AL1007.XSGE,铝1007,al1007,2009-07-16,2010-07-15,futures
AL1008.XSGE,铝1008,al1008,2009-08-18,2010-08-16,futures
AL1009.XSGE,铝1009,al1009,2009-09-16,2010-09-15,futures
AL1010.XSGE,铝1010,al1010,2009-10-16,2010-10-15,futures
AL1011.XSGE,铝1011,al1011,2009-11-17,2010-11-15,futures
AL1012.XSGE,铝1012,al1012,2009-12-16,2010-12-15,futures
AL1101.XSGE,铝1101,al1101,2010-01-18,2011-01-17,futures
AL1102.XSGE,铝1102,al1102,2010-02-22,2011-02-15,futures
AL1103.XSGE,铝1103,al1103,2010-03-16,2011-03-15,futures
AL1104.XSGE,铝1104,al1104,2010-04-16,2011-04-15,futures
AL1105.XSGE,铝1105,al1105,2010-05-18,2011-05-16,futures
AL1106.XSGE,铝1106,al1106,2010-06-18,2011-06-15,futures
AL1107.XSGE,铝1107,al1107,2010-07-16,2011-07-15,futures
AL1108.XSGE,铝1108,al1108,2010-08-17,2011-08-15,futures
AL1109.XSGE,铝1109,al1109,2010-09-16,2011-09-15,futures
AL1110.XSGE,铝1110,al1110,2010-10-18,2011-10-17,futures
AL1111.XSGE,铝1111,al1111,2010-11-16,2011-11-15,futures
AL1112.XSGE,铝1112,al1112,2010-12-16,2011-12-15,futures
AL1201.XSGE,铝1201,al1201,2011-01-18,2012-01-13,futures
AL1202.XSGE,铝1202,al1202,2011-02-16,2012-02-15,futures
AL1203.XSGE,铝1203,al1203,2011-03-16,2012-03-15,futures
AL1204.XSGE,铝1204,al1204,2011-04-18,2012-04-16,futures
AL1205.XSGE,铝1205,al1205,2011-05-17,2012-05-15,futures
AL1206.XSGE,铝1206,al1206,2011-06-16,2012-06-15,futures
AL1207.XSGE,铝1207,al1207,2011-07-18,2012-07-16,futures
AL1208.XSGE,铝1208,al1208,2011-08-16,2012-08-15,futures
AL1209.XSGE,铝1209,al1209,2011-09-16,2012-09-17,futures
AL1210.XSGE,铝1210,al1210,2011-10-18,2012-10-15,futures
AL1211.XSGE,铝1211,al1211,2011-11-16,2012-11-15,futures
AL1212.XSGE,铝1212,al1212,2011-12-16,2012-12-17,futures
AL1301.XSGE,铝1301,al1301,2012-01-16,2013-01-15,futures
AL1302.XSGE,铝1302,al1302,2012-02-16,2013-02-18,futures
