code,pe_ratio,pb_ratio,total_assets,net_profit,roe
000897.XSHE,5.3574,1.3077,6675932564.7,12522097.01,0.5
000898.XSHE,-10.8577,0.4169,96639000000.0,-759000000.0,-1.36
000899.XSHE,29.1761,1.4879,13176893561.46,273243098.21,5.52
000900.XSHE,14.8002,0.5579999999999999,57739241664.18,153545354.78,1.15
000901.XSHE,267.3835,1.7282,8484578339.82,-1363874.69,-0.05
000902.XSHE,13.525,1.6064,16234160630.0,303835269.99,3.28
000903.XSHE,-4.7898,1.4372,13428109226.42,-197133445.4,-4.98
000905.XSHE,19.496,1.0832,12606389873.66,90190532.86,1.56
000906.XSHE,6.0485,1.1420000000000001,41881313798.48,183688535.58,1.18
000910.XSHE,12.8512,0.6632,9407775191.63,147398037.43,2.17
000911.XSHE,-24.6577,39.2838,4230685095.78,-12630493.17,-13.32
000912.XSHE,27.7666,1.1192,10421080794.26,82277668.92,1.27
000913.XSHE,15.7444,1.5097,8490851041.57,128858506.81,3.05
000915.XSHE,12.9201,2.375,4995578353.2,269125260.93,4.98
000917.XSHE,38.0088,0.76,16830431031.39,68574861.26,0.24
000919.XSHE,36.5877,1.3229,4539711037.57,21964306.68,0.66
000920.XSHE,26.6588,2.6577,2465958935.84,70642493.54,3.77
000921.XSHE,10.1445,2.1445,64442317561.8,1476416716.63,7.29
000922.XSHE,15.5111,1.9014,6236758589.16,83459723.72,2.63
000923.XSHE,11.9215,1.2078,15526238761.98,413200402.08,3.16
000925.XSHE,-313.0347,1.7428,7424355315.46,11970523.83,0.42
000926.XSHE,30.4749,0.3379,37028499425.14,4434783.26,0.05
000927.XSHE,26.3675,1.806,26292961332.99,168783095.87,1.74
000928.XSHE,11.8351,1.2439,29146777625.41,157846832.09,2.22
000929.XSHE,1443.7119,2.7903,1223738037.1,-6917693.34,-0.97
000930.XSHE,-51.6644,1.1569,17435053890.46,7691995.25,0.02
000931.XSHE,-302.01,2.9019,3697160858.42,18317540.34,1.03
000932.XSHE,6.6472,0.6801,130581472604.81,2003104061.74,2.98
000933.XSHE,6.4966,2.1173,60635672311.65,1754596517.61,7.9
000935.XSHE,18.7816,1.9093,7805116294.04,213478620.32,3.03
000936.XSHE,46.9314,1.3975,6567215190.05,47202213.56,0.92
000937.XSHE,5.7485,1.167,52399523085.57,697447222.46,2.57
000938.XSHE,26.8784,1.6578,82344216469.71,907538659.78,1.57
000948.XSHE,40.3037,2.3914,8741003829.49,33501580.23,1.26
000949.XSHE,-40.3626,0.8593,11904044241.09,12347680.83,0.22
000950.XSHE,12.446,0.7799,65052424160.14,-5799372.07,0.04
000951.XSHE,30.6445,1.0976,39192831413.43,223830323.83,1.12
000952.XSHE,-77.45,1.9549,3178054084.27,-43668494.98,-2.81
000953.XSHE,-19.9935,26.9506,282771555.7,-4357208.04,-5.48
000955.XSHE,-165.5587,4.0089,961495345.97,-9515524.59,-1.14
000957.XSHE,41.4681,1.9465,8442437784.51,22015613.66,0.81
000958.XSHE,30.8905,1.1238,46580787261.68,127079881.42,0.66
000959.XSHE,108.3845,0.542,141328692043.63,557440081.58,1.09
000960.XSHE,21.4991,1.3452,37355350589.15,427564327.41,2.36
000962.XSHE,34.18,2.6972,2777428857.03,28629162.5,1.44
000963.XSHE,26.8726,3.5835,33992685509.48,753693107.93,3.79
000965.XSHE,-23.5525,0.6534,14406298740.42,-121820168.95,-2.23
000966.XSHE,24.1135,1.1823,35109025777.7,271068877.52,2.57
000967.XSHE,30.2877,0.8742,29569187732.4,227138985.59,1.32
000968.XSHE,13.078,1.2267,11978755160.49,79310524.76,1.81
000969.XSHE,40.0713,1.8646,11339622562.5,62356164.6,0.76
000970.XSHE,27.649,1.9262,10914433288.29,69282832.2,0.94
